old_slug,new_slug,old_id,new_id,old_url,new_url,old_status,drafted
grass-wall-manama,wall-grass-manama,786,938,https://rukn-eltatawer.com/bh/grass-wall-manama/,https://rukn-eltatawer.com/bh/wall-grass-manama/,publish,yes
grass-wall-muharraq,wall-grass-muharraq,787,939,https://rukn-eltatawer.com/bh/grass-wall-muharraq/,https://rukn-eltatawer.com/bh/wall-grass-muharraq/,publish,yes
grass-wall-riffa,wall-grass-riffa,788,940,https://rukn-eltatawer.com/bh/grass-wall-riffa/,https://rukn-eltatawer.com/bh/wall-grass-riffa/,publish,yes
grass-wall-hamad-town,wall-grass-hamad-town,789,941,https://rukn-eltatawer.com/bh/grass-wall-hamad-town/,https://rukn-eltatawer.com/bh/wall-grass-hamad-town/,publish,yes
grass-wall-isa-town,wall-grass-isa-town,791,943,https://rukn-eltatawer.com/bh/grass-wall-isa-town/,https://rukn-eltatawer.com/bh/wall-grass-isa-town/,publish,yes
grass-wall-aali,wall-grass-aali,790,942,https://rukn-eltatawer.com/bh/grass-wall-aali/,https://rukn-eltatawer.com/bh/wall-grass-aali/,publish,yes
grass-wall-sitra,wall-grass-sitra,792,944,https://rukn-eltatawer.com/bh/grass-wall-sitra/,https://rukn-eltatawer.com/bh/wall-grass-sitra/,publish,yes
grass-wall-budaiya,wall-grass-budaiya,793,945,https://rukn-eltatawer.com/bh/grass-wall-budaiya/,https://rukn-eltatawer.com/bh/wall-grass-budaiya/,publish,yes
artificial-grass-grdn-manama,artificial-grass-manama,930,778,https://rukn-eltatawer.com/bh/artificial-grass-grdn-manama/,https://rukn-eltatawer.com/bh/artificial-grass-manama/,publish,yes
artificial-grass-grdn-muharraq,artificial-grass-muharraq,931,779,https://rukn-eltatawer.com/bh/artificial-grass-grdn-muharraq/,https://rukn-eltatawer.com/bh/artificial-grass-muharraq/,publish,yes
artificial-grass-grdn-riffa,artificial-grass-riffa,932,780,https://rukn-eltatawer.com/bh/artificial-grass-grdn-riffa/,https://rukn-eltatawer.com/bh/artificial-grass-riffa/,publish,yes
artificial-grass-grdn-hamad-town,artificial-grass-hamad-town,933,781,https://rukn-eltatawer.com/bh/artificial-grass-grdn-hamad-town/,https://rukn-eltatawer.com/bh/artificial-grass-hamad-town/,publish,yes
artificial-grass-grdn-isa-town,artificial-grass-isa-town,935,783,https://rukn-eltatawer.com/bh/artificial-grass-grdn-isa-town/,https://rukn-eltatawer.com/bh/artificial-grass-isa-town/,publish,yes
artificial-grass-grdn-aali,artificial-grass-aali,934,782,https://rukn-eltatawer.com/bh/artificial-grass-grdn-aali/,https://rukn-eltatawer.com/bh/artificial-grass-aali/,publish,yes
artificial-grass-grdn-sitra,artificial-grass-sitra,936,784,https://rukn-eltatawer.com/bh/artificial-grass-grdn-sitra/,https://rukn-eltatawer.com/bh/artificial-grass-sitra/,publish,yes
artificial-grass-grdn-budaiya,artificial-grass-budaiya,937,785,https://rukn-eltatawer.com/bh/artificial-grass-grdn-budaiya/,https://rukn-eltatawer.com/bh/artificial-grass-budaiya/,publish,yes
